InvoiceID,OrderID,ProductID,Quantity,Buyer,InvoiceDate,DueDate,Amount,Status
INV-48544,ORD81581,PRD-9912,2,Wallenius Wilhelmsen’s ,07-02-24,05-02-24,84206.52,Pending
INV-83573,ORD81582,PRD-6191,42,MOL (Mitsui O.S.K. Lines),23-09-24,03-10-24,8779.45,Pending
INV-45589,ORD81583,PRD-4659,58,COSCO Shipping,04-10-24,28-03-24,13874.1,Overdue
INV-58699,ORD81584,PRD-5259,45,K Line (Kawasaki Kisen Kaisha),29-09-24,11-07-24,44551.33,Paid
INV-21183,ORD81585,PRD-5476,91,Hyundai Glovis  ,08-11-24,07-11-24,48584.62,Pending
INV-97567,ORD81586,PRD-1257,46,GLOVIS SOLOMON,18-06-24,03-07-24,27444.76,Paid
INV-87654,ORD81587,PRD-4444,75,Wallenius Wilhelmsen’s ,14-03-24,15-07-24,27828.71,Paid
INV-98458,ORD81588,PRD-8585,81,MOL (Mitsui O.S.K. Lines),03-10-24,15-07-24,9322.1,Pending
INV-20578,ORD81589,PRD-2792,56,MOL (Mitsui O.S.K. Lines),30-09-24,28-09-24,6258.99,Pending
INV-44143,ORD81590,PRD-5266,69,K Line (Kawasaki Kisen Kaisha),30-04-24,26-03-24,4076.09,Pending
INV-76102,ORD81591,PRD-9502,77,K Line (Kawasaki Kisen Kaisha),04-05-24,17-12-24,49187.58,Overdue
INV-16726,ORD81592,PRD-7772,92,MOL (Mitsui O.S.K. Lines),24-05-24,10-02-24,17859.96,Paid
INV-34822,ORD81593,PRD-8478,65,MOL (Mitsui O.S.K. Lines),29-12-23,05-12-24,23017.01,Overdue
INV-92385,ORD81594,PRD-5259,51,K Line (Kawasaki Kisen Kaisha),09-06-24,02-12-24,2178.27,Pending
INV-52716,ORD81595,PRD-4659,100,MOL (Mitsui O.S.K. Lines),05-11-24,31-08-24,46669.43,Paid
INV-40409,ORD81596,PRD-7772,93,Wallenius Wilhelmsen’s ,04-09-24,13-03-24,30460.15,Paid
INV-35451,ORD81597,PRD-4444,82,COSCO Shipping,03-09-24,28-02-24,35809.02,Pending
INV-33243,ORD81598,PRD-7772,44,K Line (Kawasaki Kisen Kaisha),18-08-24,24-10-24,22070.5,Pending
INV-66672,ORD81599,PRD-4444,67,K Line (Kawasaki Kisen Kaisha),20-04-24,14-08-24,1428.63,Overdue
INV-61084,ORD81600,PRD-9912,69,Wallenius Wilhelmsen’s ,09-06-24,20-12-23,16258.84,Pending
INV-93110,ORD81601,PRD-6191,99,MOL (Mitsui O.S.K. Lines),01-08-24,21-07-24,38843.31,Overdue
INV-61309,ORD81602,PRD-8585,97,COSCO Shipping,16-11-24,15-03-24,39567.3,Overdue
INV-21434,ORD81603,PRD-5476,72,K Line (Kawasaki Kisen Kaisha),07-05-24,17-02-24,27696.79,Paid
INV-20014,ORD81604,PRD-6191,94,COSCO Shipping,03-05-24,26-05-24,6319.2,Pending
INV-86837,ORD81605,PRD-1257,91,Wallenius Wilhelmsen’s ,12-04-24,12-02-24,26104.1,Overdue
INV-69296,ORD81606,PRD-5266,55,K Line (Kawasaki Kisen Kaisha),05-03-24,20-03-24,45605.16,Pending
INV-50187,ORD81607,PRD-2792,93,MOL (Mitsui O.S.K. Lines),19-08-24,06-09-24,24178.71,Paid
INV-94811,ORD81608,PRD-2792,66,K Line (Kawasaki Kisen Kaisha),25-08-24,03-06-24,45398.68,Overdue
INV-26218,ORD81609,PRD-4659,97,MOL (Mitsui O.S.K. Lines),09-06-24,18-01-24,34191.13,Paid
INV-64941,ORD81610,PRD-1257,66,MOL (Mitsui O.S.K. Lines),01-06-24,25-02-24,29747.47,Paid
INV-57798,ORD81611,PRD-7772,40,COSCO Shipping,17-12-24,24-05-24,39409.6,Paid
INV-12891,ORD81612,PRD-1257,68,Wallenius Wilhelmsen’s ,02-09-24,26-09-24,8071.47,Paid
INV-94810,ORD81613,PRD-5476,66,COSCO Shipping,13-08-24,18-02-24,21138.1,Pending
INV-20721,ORD81614,PRD-2792,43,Wallenius Wilhelmsen’s ,31-01-24,15-01-24,28521.72,Pending
